-2	m1														
256	16	16	4.00												
															
31	29	27	25	23	21	19	17	16	14	12	10	8	6	4	2
32	30	28	26	24	22	20	18	15	13	11	9	7	5	3	1
63	61	59	57	55	53	51	49	48	46	44	42	40	38	36	34
64	62	60	58	56	54	52	50	47	45	43	41	39	37	35	33
95	93	91	89	87	85	83	81	80	78	76	74	72	70	68	66
96	94	92	90	88	86	84	82	79	77	75	73	71	69	67	65
127	125	123	121	119	117	115	113	112	110	108	106	104	102	100	98
128	126	124	122	120	118	116	114	111	109	107	105	103	101	99	97
159	157	155	153	151	149	147	145	144	142	140	138	136	134	132	130
160	158	156	154	152	150	148	146	143	141	139	137	135	133	131	129
191	189	187	185	183	181	179	177	176	174	172	170	168	166	164	162
192	190	188	186	184	182	180	178	175	173	171	169	167	165	163	161
223	221	219	217	215	213	211	209	208	206	204	202	200	198	196	194
224	222	220	218	216	214	212	210	207	205	203	201	199	197	195	193
255	253	251	249	247	245	243	241	240	238	236	234	232	230	228	226
256	254	252	250	248	246	244	242	239	237	235	233	231	229	227	225
